,test,fname,workload,bpk,Z,ZD,N,fpr_monkey,fpr_binarysearch,fpr_scan,t_monkey,t_binarysearch,t_scan,zeroes
67,test1,Z1.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,1.0,0,1,0.11245699999999999,0.11245699999999999,0.11245699999999999,0.09048110000000001,7.933859999999999e-05,6.85855e-05,0.0
68,test1,Z1.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,1.0,0,1,0.0695552,0.0695552,0.0695552,0.0839654,7.556489999999999e-05,6.54708e-05,0.0
69,test1,Z1.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,1.0,0,1,0.0430201,0.0430201,0.0430201,0.0943762,8.486319999999999e-05,7.29591e-05,0.0
70,test1,Z1.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,1.0,0,1,0.026608,0.026608,0.026608,0.0893641,7.8772e-05,6.77635e-05,0.0
71,test1,Z1.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,1.0,0,1,0.0164571,0.0164571,0.0164571,0.09429589999999999,7.89664e-05,6.85255e-05,0.0
72,test1,Z1.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,1.0,3,1,0.339872,0.339872,0.339872,0.077306,8.54288e-05,8.01968e-05,7.0
73,test1,Z1.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,1.0,3,1,0.20976199999999998,0.20976199999999998,0.20976199999999998,0.0796207,8.00708e-05,7.01736e-05,0.0
74,test1,Z1.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,1.0,3,1,0.12973800000000002,0.12973800000000002,0.12973800000000002,0.0824962,8.09044e-05,7.02714e-05,0.0
75,test1,Z1.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,1.0,3,1,0.0802436,0.0802436,0.0802436,0.08414869999999999,7.86731e-05,6.90456e-05,0.0
76,test1,Z1.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,1.0,3,1,0.049630900000000006,0.049630900000000006,0.049630900000000006,0.0897437,7.7761e-05,6.84133e-05,0.0
77,test1,Z1.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,1.0,3,1,0.030696800000000003,0.030696800000000003,0.030696800000000003,0.0888765,7.86701e-05,6.83554e-05,0.0
78,test1,Z1.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,1.0,3,1,0.0189861,0.0189861,0.0189861,0.09221019999999999,7.840149999999999e-05,6.89701e-05,0.0
79,test1,Z1.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,1.0,3,1,0.0117429,0.0117429,0.0117429,0.0910885,7.89916e-05,6.84949e-05,0.0
80,test10,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.0,0,1,0.0393462,0.0393462,0.0393462,0.0704091,6.50629e-05,5.78911e-05,0.0
81,test10,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.0,0,1,0.00217947,0.00217947,0.00217947,0.06932780000000001,5.87628e-05,5.65025e-05,0.0
82,test10,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.0,0,1,0.000120725,0.000120725,0.000120725,0.0701081,5.8675100000000003e-05,5.75679e-05,0.0
83,test10,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.0,0,1,6.68721e-06,6.68721e-06,6.68721e-06,0.07436569999999999,5.8722700000000006e-05,5.6852700000000005e-05,0.0
